                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 2.6846,                 2.6213,                 1.3975,                 0.8363,                0.62146,                0.60418,                0.61108,                0.21596,                0.45567,                 0.4718,                 0.3643,                0.13426,                   2.33,                 2.1833,                 1.1141,                0.85985,             0.00092536,             0.00092536,             0.00092536
                     92,                 2.8955,                 2.7418,                 1.5804,                0.83884,                0.63878,                0.60229,                0.63144,                0.20294,                0.52487,                0.52886,                0.49694,                0.17952,                 2.4764,                 2.0363,                  1.141,                 0.8592,              0.0009197,              0.0009197,              0.0009197
                     93,                   2.63,                 2.4952,                 1.4515,                0.86409,                0.63878,                0.60229,                0.63144,                0.20294,                0.52487,                0.52886,                0.49694,                0.17952,                 2.4764,                 2.0363,                  1.141,                 0.8592,             0.00091405,             0.00091405,             0.00091405
                     94,                 2.7174,                 2.7696,                 1.4272,                0.84729,                0.63878,                0.60229,                0.63144,                0.20294,                0.52487,                0.52886,                0.49694,                0.17952,                 2.4764,                 2.0363,                  1.141,                 0.8592,             0.00090839,             0.00090839,             0.00090839
                     95,                 2.9341,                 2.6195,                 1.6695,                0.82582,                0.65675,                0.58914,                0.62443,                0.19574,                0.56311,                0.52546,                0.52918,                0.20776,                 2.5324,                 1.9791,                 1.1697,                0.85438,             0.00090273,             0.00090273,             0.00090273
                     96,                 2.8043,                 2.3831,                 1.5876,                0.83834,                0.65675,                0.58914,                0.62443,                0.19574,                0.56311,                0.52546,                0.52918,                0.20776,                 2.5324,                 1.9791,                 1.1697,                0.85438,             0.00089707,             0.00089707,             0.00089707
                     97,                 2.7907,                 2.6042,                 1.4564,                0.84524,                0.65675,                0.58914,                0.62443,                0.19574,                0.56311,                0.52546,                0.52918,                0.20776,                 2.5324,                 1.9791,                 1.1697,                0.85438,             0.00089141,             0.00089141,             0.00089141
                     98,                 3.0003,                  2.719,                 1.5632,                0.83676,                0.65257,                0.61232,                0.63724,                  0.206,                0.56031,                0.54361,                0.53036,                0.21222,                 2.4559,                 1.9613,                 1.1491,                 0.8485,             0.00088575,             0.00088575,             0.00088575
                     99,                 2.6326,                 2.2767,                 1.3388,                0.84278,                0.65257,                0.61232,                0.63724,                  0.206,                0.56031,                0.54361,                0.53036,                0.21222,                 2.4559,                 1.9613,                 1.1491,                 0.8485,             0.00088009,             0.00088009,             0.00088009
                    100,                 2.5985,                 2.5248,                 1.2846,                0.86009,                0.65257,                0.61232,                0.63724,                  0.206,                0.56031,                0.54361,                0.53036,                0.21222,                 2.4559,                 1.9613,                 1.1491,                 0.8485,             0.00087443,             0.00087443,             0.00087443
                    101,                 2.7568,                 2.5926,                 1.4237,                0.82448,                0.69784,                0.61783,                 0.6588,                0.21856,                0.51706,                0.50309,                0.46969,                0.18915,                 2.3033,                  1.983,                 1.1142,                0.84892,             0.00086877,             0.00086877,             0.00086877
                    102,                 2.7545,                  2.435,                 1.3742,                0.82378,                0.69784,                0.61783,                 0.6588,                0.21856,                0.51706,                0.50309,                0.46969,                0.18915,                 2.3033,                  1.983,                 1.1142,                0.84892,             0.00086312,             0.00086312,             0.00086312
                    103,                 2.4725,                 2.6419,                 1.2519,                0.85687,                0.69784,                0.61783,                 0.6588,                0.21856,                0.51706,                0.50309,                0.46969,                0.18915,                 2.3033,                  1.983,                 1.1142,                0.84892,             0.00085746,             0.00085746,             0.00085746
                    104,                 2.7303,                 2.4846,                 1.4157,                0.80984,                0.72685,                0.60441,                 0.6443,                0.22565,                0.38889,                0.41383,                0.30042,                0.11872,                 2.3048,                 2.0376,                 1.1125,                0.84936,              0.0008518,              0.0008518,              0.0008518
