                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 2.4595,                 2.3492,                 1.2444,                0.82938,                 0.5966,                0.56734,                0.56113,                0.18664,                0.34431,                0.41945,                0.28754,                0.11074,                 2.7904,                 3.2039,                  1.281,                0.90888,             0.00086312,             0.00086312,             0.00086312
                     63,                 2.5576,                 2.2422,                 1.3428,                  0.819,                0.62991,                0.59103,                0.58963,                  0.198,                0.33016,                0.42805,                0.26275,                0.10035,                 2.6569,                 3.2328,                 1.2659,                0.90154,             0.00085368,             0.00085368,             0.00085368
                     64,                 2.3974,                 2.3848,                 1.3075,                0.86167,                0.62991,                0.59103,                0.58963,                  0.198,                0.33016,                0.42805,                0.26275,                0.10035,                 2.6569,                 3.2328,                 1.2659,                0.90154,             0.00084425,             0.00084425,             0.00084425
                     65,                 2.5589,                 2.3087,                 1.3639,                0.83307,                0.62991,                0.59103,                0.58963,                  0.198,                0.33016,                0.42805,                0.26275,                0.10035,                 2.6569,                 3.2328,                 1.2659,                0.90154,             0.00083482,             0.00083482,             0.00083482
                     66,                 2.3995,                 2.2626,                 1.2606,                0.83638,                0.66886,                0.62067,                0.64574,                0.23788,                0.33294,                0.42421,                0.25526,                0.10056,                 2.4708,                 3.3771,                 1.1854,                0.89459,             0.00082539,             0.00082539,             0.00082539
                     67,                 2.4976,                 2.2787,                 1.3398,                0.82782,                0.66886,                0.62067,                0.64574,                0.23788,                0.33294,                0.42421,                0.25526,                0.10056,                 2.4708,                 3.3771,                 1.1854,                0.89459,             0.00081596,             0.00081596,             0.00081596
                     68,                  2.564,                 2.3371,                 1.3968,                0.82487,                0.68051,                0.63538,                0.65654,                0.24905,                0.32842,                0.40858,                0.25738,                0.09668,                 2.4487,                 3.6629,                 1.1633,                0.89554,             0.00080653,             0.00080653,             0.00080653
                     69,                 2.5663,                 2.6556,                 1.3667,                0.83447,                0.68051,                0.63538,                0.65654,                0.24905,                0.32842,                0.40858,                0.25738,                0.09668,                 2.4487,                 3.6629,                 1.1633,                0.89554,              0.0007971,              0.0007971,              0.0007971
                     70,                 2.5506,                 2.1988,                 1.3923,                0.84177,                0.68051,                0.63538,                0.65654,                0.24905,                0.32842,                0.40858,                0.25738,                0.09668,                 2.4487,                 3.6629,                 1.1633,                0.89554,             0.00078766,             0.00078766,             0.00078766
                     71,                 2.2781,                 2.4879,                 1.2542,                0.85303,                0.70013,                0.58787,                0.64843,                0.23834,                 0.3176,                0.38341,                0.24253,                0.08863,                 2.5125,                 3.6758,                 1.2122,                0.90226,             0.00077823,             0.00077823,             0.00077823
                     72,                  2.305,                 2.1384,                 1.2199,                0.83366,                0.70013,                0.58787,                0.64843,                0.23834,                 0.3176,                0.38341,                0.24253,                0.08863,                 2.5125,                 3.6758,                 1.2122,                0.90226,              0.0007688,              0.0007688,              0.0007688
                     73,                 2.4156,                 2.4765,                 1.3337,                0.82376,                0.66693,                0.56348,                0.60599,                0.21578,                0.33769,                0.39595,                0.26417,                0.10038,                 2.6292,                 3.3514,                 1.2722,                0.91063,             0.00075937,             0.00075937,             0.00075937
                     74,                 2.4949,                 2.4855,                 1.3747,                0.82941,                0.66693,                0.56348,                0.60599,                0.21578,                0.33769,                0.39595,                0.26417,                0.10038,                 2.6292,                 3.3514,                 1.2722,                0.91063,             0.00074994,             0.00074994,             0.00074994
                     75,                 2.2258,                 1.9615,                 1.1988,                 0.8582,                0.64871,                0.56049,                0.58118,                0.21913,                 0.3837,                0.42349,                0.30307,                0.12178,                  2.591,                 2.9964,                 1.2551,                0.91134,             0.00074051,             0.00074051,             0.00074051
                     76,                 2.3059,                 2.3236,                 1.1978,                 0.8223,                0.64871,                0.56049,                0.58118,                0.21913,                 0.3837,                0.42349,                0.30307,                0.12178,                  2.591,                 2.9964,                 1.2551,                0.91134,             0.00073108,             0.00073108,             0.00073108
                     77,                 2.6486,                 2.5981,                 1.4659,                0.79207,                0.64871,                0.56049,                0.58118,                0.21913,                 0.3837,                0.42349,                0.30307,                0.12178,                  2.591,                 2.9964,                 1.2551,                0.91134,             0.00072164,             0.00072164,             0.00072164
                     78,                 2.2666,                 2.1758,                 1.2341,                0.85022,                0.65517,                0.58148,                0.61848,                0.22534,                0.43771,                0.45644,                0.36703,                0.15097,                 2.5335,                 2.8422,                 1.2166,                0.90585,             0.00071221,             0.00071221,             0.00071221
